Hospital_ID,sbar,std,shat,Numerator,p_lb95,p_ub95,p_lb80,p_ub80,lclm95,uclm95,lclm80,uclm80,pred100,good,goodp4p,Short_Name,ord,id,total,Avg_2014
52,0.12896716,0.01475559,0.128281608,53,0.102597425,0.161604878,0.110788716,0.146748472,10.25974246,16.16048778,11.07887165,14.67484721,12.82816083,2,1,Beau-Dear,40,2,361,20.38
53,0.131305716,0.020814928,0.129361683,20,0.094520362,0.18129295,0.105300773,0.157176634,9.452036216,18.12929501,10.53007727,15.71766345,12.93616827,2,1,Beau-Trent,38,2,138,20.38
54,0.07871384,0.014062453,0.077666271,20,0.054796924,0.108660198,0.060841775,0.097148817,5.479692368,10.86601982,6.08417746,9.714881744,7.766627102,1,1,Metro,4,1,320,20.38
55,0.237238248,0.034601823,0.236918182,25,0.169382459,0.311384985,0.193938951,0.280255843,16.93824588,31.13849848,19.39389505,28.02558428,23.69181822,3,2,Gard City,53,3,69,20.38
57,0.131025305,0.019395914,0.130273673,11,0.094985333,0.170007624,0.107244602,0.155012162,9.49853329,17.00076239,10.72446023,15.50121617,13.02736735,2,1,West Bran,18,2,53,20.38
58,0.073276842,0.012726048,0.07245656,19,0.047373537,0.104309766,0.058672463,0.087785344,4.73735374,10.43097662,5.867246307,8.778534407,7.245656004,1,1,Holland,9,1,411,20.38
60,0.151246019,0.019516523,0.150757542,35,0.114650758,0.19060866,0.126305695,0.174655436,11.46507582,19.06086596,12.6305695,17.46554365,15.07575423,3,1,HVSinai,51,3,358,20.38
61,0.13370908,0.035564968,0.132297182,4,0.071911623,0.211959094,0.090484909,0.179092398,7.191162294,21.19590937,9.048490884,17.90923977,13.22971816,2,2,MidMich-G,25,2,37,20.38
65,0.183635482,0.035926206,0.180039279,12,0.123170008,0.26831768,0.140769622,0.23162203,12.31700085,26.83176804,14.07696222,23.16220302,18.00392791,3,2,Memorial,46,3,43,20.38
66,0.127099228,0.017448131,0.125388649,23,0.093617238,0.165661413,0.106187685,0.149147703,9.361723848,16.56614127,10.61876846,14.91477035,12.53886489,2,1,MC-Bay,28,2,131,20.38
67,0.194656822,0.029483848,0.192613161,23,0.143026068,0.259648175,0.158161101,0.232053907,14.30260683,25.96481748,15.81611005,23.20539068,19.26131611,3,2,LH,49,3,94,20.38
68,0.218535197,0.043362541,0.214673885,13,0.138407198,0.315055734,0.16157255,0.278120302,13.84071984,31.50557343,16.157255,27.81203024,21.46738852,3,2,Sinai-G,42,3,48,20.38
69,0.299708467,0.036565377,0.296505304,82,0.234419044,0.374703923,0.256676547,0.345604249,23.44190441,37.47039233,25.66765468,34.56042488,29.6505304,3,3,Harper,50,3,297,20.38
70,0.159818571,0.024847158,0.157532569,20,0.114593235,0.212175947,0.1295516,0.192281829,11.45932354,21.21759474,12.95516002,19.22818289,15.75325693,3,2,SJ-LI,44,3,116,20.38
